index,title,type,release_year,primary_genre,platform,date_added,imdb_id,imdb_rating,imdb_votes,box_office_sales,production_cost
151,Welcome Home Roscoe Jenkins,Movie,2008,Comedies,Netflix,2021-09-01,tt0494652,5.5,"15,661","$42,436,517",N/A
152,Labyrinth,Movie,1986,Action & Adventure,Netflix,2021-09-01,tt0091369,7.3,"148,603","$13,723,253",N/A
153,Letters to Juliet,Movie,2010,Comedies,Netflix,2021-09-01,tt0892318,6.5,"106,976","$53,032,453",N/A
154,Rhyme & Reason,Movie,1997,Documentaries,Netflix,2021-09-01,tt0120014,7.4,913,"$1,608,277",N/A
155,Kuroko's Basketball,TV Show,2015,Anime Series,Netflix,2021-09-01,tt2348803,8.2,"11,242",,
156,A Cinderella Story,Movie,2004,Children & Family Movies,Netflix,2021-09-01,tt0356470,5.9,"93,633","$51,438,175",N/A
157,Kid-E-Cats,TV Show,2016,Kids' TV,Netflix,2021-09-01,tt7038964,6.7,177,,
158,Agatha Christie's Crooked House,Movie,2017,Dramas,Netflix,2021-09-01,,,,,
159,An Unfinished Life,Movie,2005,Dramas,Netflix,2021-09-01,tt0350261,7.0,"33,771","$8,586,392",N/A
160,Blade Runner: The Final Cut,Movie,1982,Action & Adventure,Netflix,2021-09-01,,,,,
161,Brave Animated Series,TV Show,2021,International TV Shows,Netflix,2021-09-01,tt17545256,7.6,38,,
162,Chappie,Movie,2015,Action & Adventure,Netflix,2021-09-01,tt1823672,6.8,"269,022","$31,569,268",N/A
163,Clear and Present Danger,Movie,1994,Action & Adventure,Netflix,2021-09-01,tt0109444,6.9,"107,855","$122,187,717",N/A
164,Cliffhanger,Movie,1993,Action & Adventure,Netflix,2021-09-01,tt0106582,6.5,"139,481","$84,049,211",N/A
165,Cold Mountain,Movie,2003,Dramas,Netflix,2021-09-01,tt0159365,7.2,"155,800","$95,636,509",N/A
166,Crocodile Dundee in Los Angeles,Movie,2001,Action & Adventure,Netflix,2021-09-01,tt0231402,4.8,"26,188","$25,635,682",N/A
167,Dear John,Movie,2010,Dramas,Netflix,2021-09-01,tt0989757,6.3,"157,302","$80,014,842",N/A
168,Do the Right Thing,Movie,1989,Classic Movies,Netflix,2021-09-01,tt0097216,8.0,"111,902","$27,545,445",N/A
169,Barbie Big City Big Dreams,Movie,2021,Children & Family Movies,Netflix,2021-09-01,tt15053428,5.8,525,N/A,N/A
170,"El patrón, radiografía de un crimen",Movie,2014,Dramas,Netflix,2021-09-01,,,,,
171,Extraction,Movie,2015,Action & Adventure,Netflix,2021-09-01,tt8936646,6.8,"261,952",N/A,N/A
172,Freedom Writers,Movie,2007,Dramas,Netflix,2021-09-01,tt0463998,7.6,"84,894","$36,605,602",N/A
173,Green Lantern,Movie,2011,Action & Adventure,Netflix,2021-09-01,tt1133985,5.5,"295,555","$116,601,172",De Line Pictures
174,House Party,Movie,1990,Comedies,Netflix,2021-09-01,tt0099800,6.5,"16,652","$26,385,627",N/A
175,House Party 2,Movie,1991,Comedies,Netflix,2021-09-01,tt0102065,5.3,"7,088","$19,438,638",N/A
176,House Party 3,Movie,1994,Comedies,Netflix,2021-09-01,tt0110064,4.7,"5,618","$19,281,235",N/A
177,How to Be a Cowboy,TV Show,2021,Reality TV,Netflix,2021-09-01,tt13438900,7.5,189,,
178,HQ Barbers,TV Show,2020,TV Shows,Netflix,2021-09-01,,,,,
179,I Got the Hook Up,Movie,1998,Action & Adventure,Netflix,2021-09-01,tt0131436,4.1,"2,400","$10,317,779",N/A
180,Janoskians: Untold and Untrue,Movie,2016,Comedies,Netflix,2021-09-01,tt4841640,3.6,183,N/A,N/A
181,In Too Deep,Movie,1999,Thrillers,Netflix,2021-09-01,tt0160401,6.2,"7,115","$14,011,454",N/A
182,Initial D,Movie,2005,Action & Adventure,Netflix,2021-09-01,tt0439630,6.3,"9,707",N/A,N/A
183,In the Line of Fire,Movie,1993,Action & Adventure,Netflix,2021-08-31,tt0107206,7.2,"113,190","$102,314,823",N/A
184,Sparking Joy,TV Show,2021,Reality TV,Netflix,2021-08-31,tt14550060,6.4,490,,
185,Untold: Crime & Penalties,Movie,2021,Documentaries,Netflix,2021-08-31,,,,,
186,The Ingenuity of the Househusband,TV Show,2021,International TV Shows,Netflix,2021-08-29,tt15170710,6.7,563,,
187,Hometown Cha-Cha-Cha,TV Show,2021,International TV Shows,Netflix,2021-08-29,tt14518756,8.4,"19,222",,
188,Bread Barbershop,TV Show,2020,Kids' TV,Netflix,2021-08-28,tt12912830,6.8,230,,
189,Thimmarusu,Movie,2021,Dramas,Netflix,2021-08-28,tt13310936,7.1,"1,684",N/A,N/A
190,Wind River,Movie,2017,Dramas,Netflix,2021-08-28,tt5362988,7.7,"279,366","$33,800,859",N/A
191,2 Alone in Paris,Movie,2008,Comedies,Netflix,2021-08-28,tt1077097,5.4,"2,702",N/A,N/A
192,RIDE ON TIME,TV Show,2021,Docuseries,Netflix,2021-08-27,tt12744114,N/A,N/A,N/A,N/A
193,Once Upon a Time in Mumbaai,Movie,2010,Dramas,Netflix,2021-08-27,tt1395054,7.4,"18,561",N/A,N/A
194,Once Upon a Time in Mumbai Dobaara!,Movie,2013,Dramas,Netflix,2021-08-27,,,,,
195,Ragini MMS,Movie,2011,Horror Movies,Netflix,2021-08-27,tt1890513,5.1,"2,793",N/A,N/A
196,Ragini MMS 2,Movie,2014,Horror Movies,Netflix,2021-08-27,tt2609218,3.9,"3,078",N/A,N/A
197,Rebellion,TV Show,2016,International TV Shows,Netflix,2021-08-27,tt4699982,7.2,"4,515",,
198,Shootout at Lokhandwala,Movie,2007,Action & Adventure,Netflix,2021-08-27,tt0811066,7.1,"10,816","$289,232",N/A
199,SAS: Rise of the Black Swan,Movie,2021,Action & Adventure,Netflix,2021-08-27,,,,,
200,Shor In the City,Movie,2011,Comedies,Netflix,2021-08-27,tt1916728,7.2,"4,064",N/A,N/A
201,The Dirty Picture,Movie,2011,Comedies,Netflix,2021-08-27,tt1954206,6.6,"10,342",N/A,N/A
202,Titletown High,TV Show,2021,Reality TV,Netflix,2021-08-27,tt15192032,5.8,420,,
203,"LSD: Love, Sex Aur Dhokha",Movie,2010,Dramas,Netflix,2021-08-27,tt1608777,7.2,"6,039",N/A,N/A
204,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Movie,2008,Action & Adventure,Netflix,2021-08-27,tt1179781,3.5,"1,242",N/A,N/A
205,Krishna Cottage,Movie,2004,Action & Adventure,Netflix,2021-08-27,tt0408976,5.2,"1,369",N/A,N/A
206,Kyo Kii... Main Jhuth Nahin Bolta,Movie,2001,Comedies,Netflix,2021-08-27,tt0297241,5.4,"2,542",N/A,N/A
207,King of Boys: The Return of the King,TV Show,2021,Crime TV Shows,Netflix,2021-08-27,tt15192042,6.8,315,,
208,Kyaa Super Kool Hain Hum,Movie,2012,Comedies,Netflix,2021-08-27,tt2027138,5.0,"4,142",N/A,FLM Films
209,D.P.,TV Show,2021,International TV Shows,Netflix,2021-08-27,tt13024974,8.2,"9,104",,
210,Deadly Sins,TV Show,2002,International TV Shows,Netflix,2021-08-27,tt0112830,4.6,547,N/A,N/A
211,He's All That,Movie,2021,Comedies,Netflix,2021-08-27,tt4590256,4.4,"28,535",N/A,N/A
212,I Heart Arlo,TV Show,2021,Kids' TV,Netflix,2021-08-27,tt13573450,7.0,271,,
213,EMI: Liya Hai To Chukana Padega,Movie,2008,Comedies,Netflix,2021-08-27,tt1221133,4.4,663,N/A,N/A
214,Koi Aap Sa,Movie,2006,Comedies,Netflix,2021-08-27,tt0488840,5.6,288,N/A,N/A
215,C Kkompany,Movie,2008,Action & Adventure,Netflix,2021-08-27,tt1170399,5.5,"1,315",N/A,N/A
216,Kucch To Hai,Movie,2003,Dramas,Netflix,2021-08-27,tt0348662,4.4,982,N/A,N/A
217,Kyaa Kool Hai Hum,Movie,2005,Comedies,Netflix,2021-08-27,tt0456500,6.1,"3,748",N/A,N/A
218,Kyaa Kool Hain Hum 3,Movie,2016,Comedies,Netflix,2021-08-27,tt5290620,1.9,"4,500",N/A,N/A
219,EDENS ZERO,TV Show,2021,Anime Series,Netflix,2021-08-26,tt13167196,7.1,"2,012",,
220,Family Reunion,TV Show,2021,Kids' TV,Netflix,2021-08-26,tt9153270,6.6,"3,503",,
221,Really Love,Movie,2020,Dramas,Netflix,2021-08-25,tt8722624,6.2,"1,096",N/A,N/A
222,Wheel of Fortune,TV Show,2019,Reality TV,Netflix,2021-08-25,tt0072584,6.7,"3,532",,
223,The Water Man,Movie,2021,Children & Family Movies,Netflix,2021-08-25,tt4779326,5.6,"4,592","$383,234",N/A
224,The River Runner,Movie,2021,Documentaries,Netflix,2021-08-25,tt15293256,6.9,"2,022",N/A,N/A
225,The Old Ways,Movie,2020,Horror Movies,Netflix,2021-08-25,tt12829958,5.4,"7,764",N/A,N/A
226,The November Man,Movie,2014,Action & Adventure,Netflix,2021-08-25,tt2402157,6.3,"70,404","$25,018,119",N/A
227,Open Your Eyes,TV Show,2021,International TV Shows,Netflix,2021-08-25,tt0125659,7.7,"73,059","$370,720",N/A
228,Post Mortem: No One Dies in Skarnes,TV Show,2021,International TV Shows,Netflix,2021-08-25,tt13053222,7.1,"4,075",,
229,John of God: The Crimes of a Spiritual Healer,TV Show,2021,Crime TV Shows,Netflix,2021-08-25,tt15233856,6.5,"1,021",,
230,Clickbait,TV Show,2021,Crime TV Shows,Netflix,2021-08-25,tt10888878,7.2,"60,112",,
231,"Bob Ross: Happy Accidents, Betrayal & Greed",Movie,2021,Documentaries,Netflix,2021-08-25,tt14539744,6.9,"6,725",N/A,N/A
232,Motel Makeover,TV Show,2021,International TV Shows,Netflix,2021-08-25,tt15128558,5.0,842,,
233,Count Me In,Movie,2021,Documentaries,Netflix,2021-08-24,tt6889042,6.8,"2,172",N/A,N/A
234,Oggy Oggy,TV Show,2021,Kids' TV,Netflix,2021-08-24,,,,,
