index,title,type,release_year,primary_genre,platform,date_added,imdb_id,imdb_rating,imdb_votes,box_office_sales,production_cost
108,La casa de papel,TV Show,2021,Crime TV Shows,Netflix,2021-09-03,,,,,
109,Dive Club,TV Show,2021,Kids' TV,Netflix,2021-09-03,,,,,
110,Money Heist: From Tokyo to Berlin,TV Show,2021,Docuseries,Netflix,2021-09-03,,,,,
111,Sharkdog,TV Show,2021,Kids' TV,Netflix,2021-09-03,,,,,
112,Worth,Movie,2021,Dramas,Netflix,2021-09-03,,,,,
113,In the Cut,Movie,2003,Thrillers,Netflix,2021-09-02,,,,,
114,Luv Kushh,TV Show,2012,Kids' TV,Netflix,2021-09-02,,,,,
115,Heroes of Goo Jit Zu,TV Show,2021,Kids' TV,Netflix,2021-09-02,,,,,
116,Pororo - The Little Penguin,TV Show,2013,Kids' TV,Netflix,2021-09-02,,,,,
117,Q-Force,TV Show,2021,Crime TV Shows,Netflix,2021-09-02,,,,,
118,Shikara,Movie,2020,Dramas,Netflix,2021-09-02,,,,,
119,Hotel Del Luna,TV Show,2019,International TV Shows,Netflix,2021-09-02,,,,,
120,Dhanak,Movie,2015,Comedies,Netflix,2021-09-02,,,,,
121,Here and There,Movie,2020,Dramas,Netflix,2021-09-02,,,,,
122,Final Account,Movie,2021,Documentaries,Netflix,2021-09-02,,,,,
123,Bright Star,Movie,2009,Dramas,Netflix,2021-09-02,,,,,
124,Anjaam,Movie,1994,Dramas,Netflix,2021-09-02,,,,,
125,Afterlife of the Party,Movie,2021,Comedies,Netflix,2021-09-02,,,,,
126,Gurgaon,Movie,2017,Dramas,Netflix,2021-09-02,,,,,
127,My Boss's Daughter,Movie,2003,Comedies,Netflix,2021-09-01,,,,,
128,Open Season 2,Movie,2008,Children & Family Movies,Netflix,2021-09-01,,,,,
129,Once Upon a Time in America,Movie,1984,Classic Movies,Netflix,2021-09-01,,,,,
130,Oldsters,TV Show,2019,Crime TV Shows,Netflix,2021-09-01,,,,,
131,Mystery Men,Movie,1999,Action & Adventure,Netflix,2021-09-01,,,,,
132,Major Dad,TV Show,1992,TV Comedies,Netflix,2021-09-01,,,,,
133,Marshall,Movie,2017,Dramas,Netflix,2021-09-01,,,,,
134,Mars Attacks!,Movie,1996,Comedies,Netflix,2021-09-01,,,,,
135,Poseidon,Movie,2006,Action & Adventure,Netflix,2021-09-01,,,,,
136,Love in a Puff,Movie,2010,Comedies,Netflix,2021-09-01,,,,,
137,Love Don't Cost a Thing,Movie,2003,Comedies,Netflix,2021-09-01,,,,,
138,Level 16,Movie,2018,Sci-Fi & Fantasy,Netflix,2021-09-01,,,,,
139,Osmosis Jones,Movie,2001,Action & Adventure,Netflix,2021-09-01,,,,,
140,Snervous Tyler Oakley,Movie,2015,Documentaries,Netflix,2021-09-01,,,,,
141,Same Kind of Different as Me,Movie,2017,Dramas,Netflix,2021-09-01,,,,,
142,School of Rock,Movie,2003,Comedies,Netflix,2021-09-01,,,,,
143,Tears of the Sun,Movie,2003,Action & Adventure,Netflix,2021-09-01,,,,,
144,The Blue Lagoon,Movie,1980,Dramas,Netflix,2021-09-01,,,,,
145,The Golden Child,Movie,1986,Action & Adventure,Netflix,2021-09-01,,,,,
146,The Guns of Navarone,Movie,1961,Action & Adventure,Netflix,2021-09-01,,,,,
147,The Interview,Movie,2014,Action & Adventure,Netflix,2021-09-01,,,,,
148,The Nutty Professor,Movie,1996,Comedies,Netflix,2021-09-01,,,,,
149,The Nutty Professor II: The Klumps,Movie,2000,Comedies,Netflix,2021-09-01,,,,,
150,Turning Point: 9/11 and the War on Terror,TV Show,2021,Docuseries,Netflix,2021-09-01,,,,,
151,Welcome Home Roscoe Jenkins,Movie,2008,Comedies,Netflix,2021-09-01,,,,,
152,Labyrinth,Movie,1986,Action & Adventure,Netflix,2021-09-01,,,,,
153,Letters to Juliet,Movie,2010,Comedies,Netflix,2021-09-01,,,,,
154,Rhyme & Reason,Movie,1997,Documentaries,Netflix,2021-09-01,,,,,
155,Kuroko's Basketball,TV Show,2015,Anime Series,Netflix,2021-09-01,,,,,
156,A Cinderella Story,Movie,2004,Children & Family Movies,Netflix,2021-09-01,,,,,
157,Kid-E-Cats,TV Show,2016,Kids' TV,Netflix,2021-09-01,,,,,
158,Agatha Christie's Crooked House,Movie,2017,Dramas,Netflix,2021-09-01,,,,,
159,An Unfinished Life,Movie,2005,Dramas,Netflix,2021-09-01,,,,,
160,Blade Runner: The Final Cut,Movie,1982,Action & Adventure,Netflix,2021-09-01,,,,,
161,Brave Animated Series,TV Show,2021,International TV Shows,Netflix,2021-09-01,,,,,
162,Chappie,Movie,2015,Action & Adventure,Netflix,2021-09-01,,,,,
163,Clear and Present Danger,Movie,1994,Action & Adventure,Netflix,2021-09-01,,,,,
164,Cliffhanger,Movie,1993,Action & Adventure,Netflix,2021-09-01,,,,,
165,Cold Mountain,Movie,2003,Dramas,Netflix,2021-09-01,,,,,
166,Crocodile Dundee in Los Angeles,Movie,2001,Action & Adventure,Netflix,2021-09-01,,,,,
167,Dear John,Movie,2010,Dramas,Netflix,2021-09-01,,,,,
168,Do the Right Thing,Movie,1989,Classic Movies,Netflix,2021-09-01,,,,,
