platform,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,listed_in2,listed_in3
Disney,s1366,Movie,Three Men and a Little Lady,Emile Ardolino,"Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis, Christopher Cazenove, Fiona Shaw",United States,11/12/2019,1990,PG,104 min,Buddy, Comedy, Romance
Disney,s1367,Movie,Thru the Mirror,Dave Hand,"Walt Disney, Marcelite Garner, Sonny Dawson",United States,11/12/2019,1936,TV-G,10 min,Animation, Comedy, Family
Disney,s1368,Movie,Tiger Cruise,Duwayne Dunham,"Hayden Panettiere, Troy Evans, Bianca Collins, Nathaniel Lee Jr., Nathaniel Lee, Mercedes Colon",United States,11/12/2019,2004,TV-PG,88 min,Drama, Family,
Disney,s1369,Movie,Tim Burtonâ€™s The Nightmare Before Christmas,Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, Glenn Shadix, Paul Reubens",United States,11/12/2019,1993,PG,78 min,Animation, Family, Fantasy
Disney,s1370,TV Show,Timon & Pumbaa,,"Quinton Flynn, Ernie Sabella, Jim Cummings, Nathan Lane",United States,11/12/2019,1995,TV-Y,3 Seasons,Animation, Buddy, Comedy
Disney,s1371,Movie,Tin Toy,John Lasseter,"Tinny , Billy",United States,11/12/2019,1988,TV-G,5 min,Animation, Family, Kids
Disney,s1372,Movie,Tinker Bell,Bradley Raymond,"Mae Whitman, Kristin Chenoweth, Raven-SymonÃ© , Lucy Liu, America Ferrera, Jane Horrocks",United States,11/12/2019,2008,G,81 min,Action-Adventure, Animation, Fantasy
Disney,s1373,Movie,Tinker Bell and the Great Fairy Rescue,Bradley Raymond,"Mae Whitman, Lauren Mote, Michael Sheen, Pamela Adlon, Lucy Liu, Raven-SymonÃ©",United States,11/12/2019,2010,G,80 min,Action-Adventure, Animation, Fantasy
Disney,s1374,Movie,Tinker Bell and the Lost Treasure,Klay Hall,"Mae Whitman, Jesse McCartney, Jane Horrocks, Lucy Liu, Raven-SymonÃ© , Kristin Chenoweth",United States,11/12/2019,2009,G,84 min,Action-Adventure, Animation, Fantasy
Disney,s1375,Movie,Titanic: 20 Years Later With James Cameron,Thomas Grane,"James Cameron, Bob Ballard",United States,11/12/2019,2017,TV-PG,47 min,Documentary, Historical,
Disney,s1376,Movie,Toby Tortoise Returns,Wilfred Jackson,,United States,11/12/2019,1936,TV-Y7,8 min,Animation, Family, Sports
Disney,s1377,Movie,Tom and Huck,Peter Hewitt,"Jonathan Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright, Michael McShane",United States,11/12/2019,1995,PG,92 min,Action-Adventure, Comedy, Coming of Age
