platform,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,listed_in2,listed_in3
Netflix,s2122,Movie,Seventh Son,Sergei Bodrov,"Jeff Bridges, Ben Barnes, Julianne Moore, Alicia Vikander, Antje Traue, Olivia Williams, John DeSantis, Kit Harington, Djimon Hounsou, Gerard Plunkett, Jason Scott Lee","United States, United Kingdom, Canada, China",8/16/2020,2014,PG-13,102 min,Action&Adventure, Sci-Fi & Fantasy,
Netflix,s2123,TV Show,Stranger,,"Seung-woo Cho, Doona Bae, Joon-hyuk Lee, Kyeong-yeong Lee, Jae-myung Yoo, Hye-sun Shin",South Korea,8/16/2020,2020,TV-MA,2 Seasons,Crime, International TV Shows, Korean TV Shows
Netflix,s2124,TV Show,DÃ©rÃ¨: An African Tale,,"Weruche Opia, Gbenro Ajibade, Ireti Doyle, Keppy Ekpenyong, Carol King, Shaffy Bello, Tosan Edremoda Ugbeye, Nina Iphechukwude Anyianuka, Pearl Nkiru Waturuocha, Emmanuel Ikubese, Omowunmi Dada, Paul Adams, Charles Ukpong, Monica Friday, Kevin Ushi",,8/15/2020,2016,TV-PG,1 Season,International, Romantic TV Shows, TV Dramas
Netflix,s2125,TV Show,Rita,,"Mille Dinesen, Carsten BjÃ¸rnlund, Lise Baastrup, Nikolaj Groth, Ellen HillingsÃ¸, Morten Vang Simonsen, Lykke Sand Michelsen, Carsten Norgaard, Sara Hjort Ditlevsen, Alexandre Willaume",Denmark,8/15/2020,2020,TV-MA,5 Seasons,International, TV Comedies, TV Dramas
Netflix,s2126,TV Show,Takki,,"Moayed Althagafi, Khairiah Abulaban, Ali Alsharif, Adel Redwan, Redwan Alremey, Hind Alsaigh, Reem Alhabib, Khaled Bamashmoos, Fahad Ghazoli, Dareen Albayedh, Naif Althufairi, Mohammad Balkhi",Saudi Arabia,8/15/2020,2014,TV-14,2 Seasons,International, TV Dramas,
Netflix,s2127,Movie,What's Your Raashee?,Ashutosh Gowariker,"Harman Baweja, Priyanka Chopra, Manju Singh, Anjan Srivastav, Darshan Jariwala, Dilip Joshi, Vishwa Badola, Rajesh Vivek, Daya Shankar Pandey, Yuri Suri",India,8/15/2020,2009,TV-PG,203 min,Comedies, International Movies, Music & Musicals
Netflix,s2128,TV Show,3%,,"JoÃ£o Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, ZezÃ© Motta, Celso Frateschi",Brazil,8/14/2020,2020,TV-MA,4 Seasons,International, TV Dramas, TV Sci-Fi & Fantasy
Netflix,s2129,Movie,Beyond the Boundary: ICC Women's T20 World Cup Australia 2020,Anna Stone,,,8/14/2020,2020,TV-G,59 min,Documentaries, International Movies, Sports Movies
Netflix,s2130,Movie,Fearless,Cory Edwards,"Yara Shahidi, Miles Robbins, Miguel J. Pimentel, Gabrielle Union, Jadakiss, Tom Kenny, Angie Martinez, Harland Williams, Fat Joe, Amari McCoy, Dwyane Wade",Canada,8/14/2020,2020,TV-Y7,92 min,Children&FamilyMovies, Comedies,
Netflix,s2131,Movie,Nigerian Prince,Faraday Okoro,"Antonio Bell, Chinaza Uche, Tina Mba, Bimbo Manuel, Toyin Oshinaike, Craig Stott, Ebbe Bassey, Cristabel Goddy, Omar Maskati, Russell G. Jones, Dean Cameron","United States, Nigeria",8/14/2020,2018,TV-MA,104 min,Dramas, Independent Movies,
Netflix,s2132,Movie,Octonauts & the Caves of Sac Actun,Blair Simmons,"Teresa Gallagher, Simon Greenall, Keith Wickham, Rob Rackstraw, Michael Murphy, Jo Wyatt, Helen Walsh, Andres Williams, Paul Panting",United Kingdom,8/14/2020,2020,TV-Y,72 min,Children&FamilyMovies,,
Netflix,s2133,Movie,Project Power,"Henry Joost, Ariel Schulman","Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly, Tait Fletcher, Allen Maldonado, Andrene Ward-Hammond",United States,8/14/2020,2020,R,113 min,Action&Adventure,,
Netflix,s2134,TV Show,Teenage Bounty Hunters,,"Anjelica Bette Fellini, Maddie Phillips, Kadeem Hardison, Virginia Williams, Mackenzie Astin, Shirley Rumierk, Myles Evans, Devon Hales, Spencer House, Eric Graise, Charity Cervantes, Wynn Everett, Method Man",United States,8/14/2020,2020,TV-MA,1 Season,Crime, TV Comedies, TV Dramas
Netflix,s2135,TV Show,The Great Heist,,"AndrÃ©s Parra, Christian Tappan, Marcela Benjumea, Juan SebastiÃ¡n Calero, Waldo Urrego, Rodrigo Jerez, Katherine VÃ©lez, Paula CastaÃ±o, Pedro SuÃ¡rez, Ã‰dgar Vittorino, RamsÃ©s Ramos, Juan Pablo BarragÃ¡n",Colombia,8/14/2020,2020,TV-MA,1 Season,Crime, International TV Shows, Spanish-Language TV Shows
Netflix,s2136,TV Show,The Legend of Korra,,"Janet Varney, David Faustino, P.J. Byrne, J.K. Simmons, Dee Bradley Baker, Seychelle Gabriel, Logan Wells, Jeff Bennett, Kiernan Shipka",United States,8/14/2020,2014,TV-Y7,4 Seasons,Kids', TV Action & Adventure, TV Sci-Fi & Fantasy
Netflix,s2137,TV Show,Zoids Wild,,"Kensho Ono, Takahiro Sakurai, Mikako Komatsu, Etsuko Kozakura, Subaru Kimura, Kaito Ishikawa, Ami Koshimizu, Yoji Ikuta, Hayato Kimura, Kotaro Nishiyama, Takuya Kirimoto, Tomokazu Seki, Suzuko Mimori",Japan,8/14/2020,2018,TV-Y7,1 Season,AnimeSeries, Kids' TV,
Netflix,s2138,Movie,An Easy Girl,Rebecca Zlotowski,"Mina Farid, Zahia Dehar, BenoÃ®t Magimel, Nuno Lopes, Clotilde Courau, Loubna Abidar, ""Riley"" Lakdhar Dridi, Henri-NoÃ«l Tabary",France,8/13/2020,2019,TV-MA,93 min,Comedies, Dramas, International Movies
Netflix,s2139,Movie,Christine,Antonio Campos,"Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia, J. Smith-Cameron, Timothy Simons, Kim Shaw, John Cullum, Morgan Spector, Jayson Warner Smith","United Kingdom, United States",8/13/2020,2016,R,119 min,Dramas, Independent Movies,
Netflix,s2140,Movie,Simon Killer,Antonio Campos,"Brady Corbet, Mati Diop, Constance Rousseau, Lila Salet, Solo, MichaÃ«l Abiteboul, Nicolas Ronchi, Ã‰tienne Rotha Moeng","United States, France",8/13/2020,2012,TV-MA,105 min,Dramas, Independent Movies, Thrillers
Netflix,s2141,TV Show,(Un)Well,,,United States,8/12/2020,2020,TV-MA,1 Season,Reality,,
Netflix,s2142,Movie,Gunjan Saxena: The Kargil Girl,Sharan Sharma,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Viineet Kumar, Manav Vij, Ayesha Raza Mishra",India,8/12/2020,2020,TV-14,113 min,Action&Adventure, Dramas, International Movies
Netflix,s2143,Movie,Mr. Peabody & Sherman,Rob Minkoff,"Ty Burrell, Max Charles, Ariel Winter, Stephen Colbert, Leslie Mann, Stanley Tucci, Allison Janney, Mel Brooks, Patrick Warburton, Stephen Tobolowsky, Lake Bell",United States,8/11/2020,2014,PG,93 min,Children&FamilyMovies, Comedies, Sci-Fi & Fantasy
Netflix,s2144,Movie,"Rob Schneider: Asian Momma, Mexican Kids",Tyler Spindel,Rob Schneider,United States,8/11/2020,2020,TV-MA,44 min,Stand-UpComedy,,
Netflix,s2145,TV Show,GAME ON: A Comedy Crossover Event,,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Paul Wight, Allison Munn, Gabriel Iglesias, Sherri Shepherd, Paulina ChÃ¡vez, Jencarlos Canela",United States,8/10/2020,2020,TV-G,1 Season,Kids', TV Comedies,
Netflix,s2146,TV Show,Terrace House: Tokyo 2019-2020,,"You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama",Japan,8/10/2020,2019,TV-MA,2 Seasons,International, Reality TV,
Netflix,s2147,Movie,The Lost Husband,Vicky Wight,"Leslie Bibb, Josh Duhamel, Nora Dunn, Sharon Lawrence, Callie Hope Haverda, Roxton Garcia",United States,8/10/2020,2020,PG-13,110 min,Dramas, Romantic Movies,
Netflix,s2148,Movie,Diamonds in the Sky,Kunle Afolayan,"Joke Silva, Omowunmi Dada, Bimbo Akintola, Femi Adebayo, Kayode Olaiya, Ali Nuhu, Yvonne Jegede, Toyin Abraham, Adebayo Salami, Ayo Mogaji, Magaji Mijinyawa",,8/8/2020,2018,TV-14,113 min,Dramas, International Movies,
Netflix,s2149,TV Show,The Governor,,"Caroline Chikezie, Bimbo Manuel, Lord Frank, Edmond Enaibe, Taiwo Obileye, Jude Chukwuka, Kunle Coker, Paul Christian Chukwudi, Samuel Abiola Robinson, Simi Adejumo, Ani Iyoho",Nigeria,8/8/2020,2016,TV-14,1 Season,International, TV Dramas,
Netflix,s2150,Movie,We Summon the Darkness,Marc Meyers,"Alexandra Daddario, Amy Forsyth, Keean Johnson, Maddie Hasson, Logan Miller, Austin Swift, Johnny Knoxville, Allison McAtee, Tanner Beard","United States, Canada, United Kingdom",8/8/2020,2020,R,90 min,HorrorMovies, Thrillers,
Netflix,s2151,Movie,"Berlin, Berlin: Lolle on the Run",Franziska Meyer Price,"Felicitas Woll, Janina Uhse, Jan Sosniok, Matthias Klimsa, Sandra Borgmann, Kai Lentrodt, Armin Rohde, Gitta SchweighÃ¶fer, Kailas Mahadevan",Germany,8/7/2020,2020,TV-MA,82 min,Comedies, International Movies,
Netflix,s2152,TV Show,High Seas,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy AzorÃ­n, Chiqui FernÃ¡ndez, Tamar Novas, Daniel Lundh, Manuela VellÃ©s, Natalia RodrÃ­guez, Laura Prats, Ignacio Montes, BegoÃ±a Vargas, Luis Bermejo, Pepe Ocio, Ben Temple, FÃ©lix GÃ³mez, Antonio DurÃ¡n 'Morris', Eduardo Blanco, JosÃ© SacristÃ¡n",Spain,8/7/2020,2020,TV-MA,3 Seasons,Crime, International TV Shows, Spanish-Language TV Shows
Netflix,s2153,TV Show,Selling Sunset,,,,8/7/2020,2020,TV-MA,3 Seasons,Reality,,
Netflix,s2154,TV Show,Sing On! Germany,,Palina Rojinski,Germany,8/7/2020,2020,TV-PG,1 Season,International, Reality TV,
Netflix,s2155,Movie,Stars in the Sky: A Hunting Story,Steven Rinella,Steven Rinella,United States,8/7/2020,2018,TV-14,69 min,Documentaries,,
Netflix,s2156,Movie,The Magic School Bus Rides Again Kids In Space,Richard Weston,"Kate McKinnon, Matthew Mucci, Mikaela Blake, Gabby Clarke, Roman Lutterotti, Leke Maceda-Rustecki, Birva Pandya, Lynsey Pham, Kaden Stephen",United States,8/7/2020,2020,TV-Y,46 min,Children&FamilyMovies,,
Netflix,s2157,TV Show,Tiny Creatures,,Mike Colter,United States,8/7/2020,2020,TV-PG,1 Season,Docuseries, Science & Nature TV, TV Action & Adventure
Netflix,s2158,TV Show,Wizards: Tales of Arcadia,,"Colin O'Donoghue, David Bradley, Lena Headey, Emile Hirsch, Lexi Medrano, Steven Yeun, Alfred Molina, James Faulkner, Stephanie Beatriz, John Rhys-Davies",United States,8/7/2020,2020,TV-Y7,1 Season,Kids', TV Action & Adventure, TV Sci-Fi & Fantasy
Netflix,s2159,TV Show,Word Party Songs,,,United States,8/7/2020,2020,TV-Y,1 Season,Kids',,
Netflix,s2160,Movie,Work It,Laura Terruso,"Sabrina Carpenter, Jordan Fisher, Liza Koshy, Keiynan Lonsdale, Michelle Buteau, Drew Ray Tanner",United States,8/7/2020,2020,TV-14,94 min,Comedies,,
Netflix,s2161,TV Show,Ever After High,,"Jonquil Goode, Karen Strassman, Audu Paden, Julie Maddalena, Marieve Herington, Rena Strober, Evan Smith, Wendee Lee, Haviland Stillwell, Valerie Arem, Cam Clarke, Colleen Foy, Cindy Robinson, Joe Sanfelippo, Jamieson Price, Debi Derryberry, Lindsey Ames, Rajo Zakic, Erin Fitzgerald, Malcolm Danare",Canada,8/6/2020,2016,TV-Y7,5 Seasons,Kids',,
Netflix,s2162,Movie,Nasha Natasha,MartÃ­n Sastre,Natalia Oreiro,Uruguay,8/6/2020,2020,TV-PG,72 min,Documentaries, International Movies, Music & Musicals
Netflix,s2163,TV Show,The Rain,,"Alba August, Lucas Lynggaard TÃ¸nnesen, Mikkel Boe FÃ¸lsgaard, Lukas LÃ¸kken, Jessica Dinnage, Sonny Lindberg, Angela Bundalovic, Lars Simonsen","Denmark, United States",8/6/2020,2020,TV-MA,3 Seasons,International, TV Dramas, TV Mysteries
Netflix,s2164,Movie,Anelka: Misunderstood,Franck Nataf,Nicolas Anelka,France,8/5/2020,2020,TV-14,95 min,Documentaries, International Movies, Sports Movies
Netflix,s2165,Movie,Sin City,Pascal Amanfo,"Yvonne Nelson, Kunle Remi, Adjetey Anang, Oscar Provencal, Michelle McKinney Hammond, Rosaline Meurer, Kweku Elliot, Regina Van Helvert, Alhaji Fadika, Isaac Akwesi Awonor",,8/5/2020,2019,TV-14,101 min,InternationalMovies, Thrillers,
Netflix,s2166,TV Show,World's Most Wanted,,,United States,8/5/2020,2020,TV-14,1 Season,Crime, Docuseries, International TV Shows
Netflix,s2167,Movie,A Go! Go! Cory Carson Summer Camp,"Stanley Moore, Alex Woo","Alan C. Lim, Smith Foreman, Abigail Vibat, Pfifer Chastain, Jim Capobianco, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Paul Killam, Kerry Gudjohnsen, Maisie Benson",,8/4/2020,2020,TV-Y,21 min,Children&FamilyMovies,,
Netflix,s2168,Movie,Malibu Rescue: The Next Wave,Savage Steve Holland,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, Jeff Meacham, Ella Gross, Carlos Sanson, JT Neal, Camaron Engels, Kirrilee Berger",United States,8/4/2020,2020,TV-G,71 min,Children&FamilyMovies, Comedies,
Netflix,s2169,TV Show,Mystery Lab,,"Felipe Castanhari, Lilian Regina, Bruno Miranda, Guilherme Briggs",Brazil,8/4/2020,2020,TV-PG,1 Season,Docuseries, International TV Shows, Science & Nature TV
Netflix,s2170,Movie,Sam Jay: 3 In The Morning,Kristian Mercado,Sam Jay,United States,8/4/2020,2020,TV-MA,64 min,Stand-UpComedy,,
Netflix,s2171,TV Show,Immigration Nation,,,United States,8/3/2020,2020,TV-MA,1 Season,Docuseries,,
Netflix,s2172,Movie,Almost Love,Mike Doyle,"Scott Evans, Augustus Prew, Kate Walsh, Michelle Buteau, ZoÃ« Chao, Patricia Clarkson, Colin Donnell, Christopher Gray",United States,8/2/2020,2020,TV-MA,92 min,Comedies, Dramas, Independent Movies
Netflix,s2173,Movie,Killing Hasselhoff,Darren Grant,"Ken Jeong, David Hasselhoff, Jim Jefferies, Jon Lovitz, Rhys Darby, Dan Bakkedahl, Jennifer Ikeda, Will Sasso, Colton Dunn",United States,8/1/2020,2017,R,80 min,Comedies,,
Netflix,s2174,TV Show,Moesha,,"Brandy Norwood, William Allen Young, Sheryl Lee Ralph, Countess Vaughn, Lamont Bentley, Shar Jackson, Marcus T. Paulk, Yvette Wilson",United States,8/1/2020,2000,TV-PG,6 Seasons,Comedies, Teen TV Shows,
Netflix,s2175,TV Show,My Perfect Landing,,"Morgan Wigle, Tom Hulshof, Helena Marie, Shawn Thompson, Natasha Zaborski, Ajanae Stephenson, Francesca Van Keekan, Jordan Clark",Canada,8/1/2020,2020,TV-G,1 Season,Kids',,
Netflix,s2176,TV Show,Nagi-Asu: A Lull in the Sea,,"Natsuki Hanae, Kana Hanazawa, Ai Kayano, Ryota Osaka, Kaito Ishikawa, Mikako Komatsu, Kaori Ishihara, Kaori Nazuka, Masuo Amada, Junji Majima, Motomu Kiyokawa, Kohsuke Toriumi",Japan,8/1/2020,2014,TV-14,1 Season,AnimeSeries, Romantic TV Shows, Teen TV Shows
Netflix,s2177,Movie,Rogue Warfare: The Hunt,Mike Gunther,"Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Chris Mulkey, Stephen Lang",United States,8/1/2020,2020,R,104 min,Action&Adventure,,
Netflix,s2178,Movie,Super Monsters: The New Class,Steve Ball,"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Gigi Saul Guerrero, Asia Mattu, Rukiya Bernard, Elicia MacKenzie, Ian James Corlett, Britt McKillip",Canada,8/1/2020,2020,TV-Y,25 min,Children&FamilyMovies,,
Netflix,s2179,TV Show,The Next Step,,"Shamier Anderson, Victoria Baldesarra, Alexandra Beaton, Jordan Clark, Brennan Clost, Samantha Grecchi, Lamar Johnson, Isaac Lupien, Trevor Tordjman, Brittany Raymond, Bree Wasylenko, Jennifer Pappas, Tamina Pollack-Paris, Logan Fabbro, Megan Mackenzie, Alex Beaton, Natalie Krill",Canada,8/1/2020,2018,TV-G,1 Season,Kids', Reality TV, TV Dramas
Netflix,s2180,Movie,The Ottoman Lieutenant,Joseph Ruben,"Michiel Huisman, Hera Hilmar, Josh Hartnett, Ben Kingsley, Haluk Bilginer, Affif Ben Badra, Paul Barrett, Jessica Turner","Turkey, United States",8/1/2020,2017,R,111 min,Dramas, Romantic Movies,
Netflix,s2181,TV Show,Toradora!,,"Rie Kugimiya, Junji Majima, Yui Horie, Hirofumi Nojima, Eri Kitamura, Sayaka Ohara, Ai Nonaka, Momoko Ishikawa, Hiroyuki Yoshino, Kazuyuki Okitsu, Rie Tanaka, Yuhko Kaida, Saori Goto",Japan,8/1/2020,2008,TV-14,1 Season,AnimeSeries, International TV Shows, Romantic TV Shows
Netflix,s2182,TV Show,Transformers Rescue Bots Academy,,"Adam Andrianopolous, Pierce Cravens, Xander Crowell, Paul Guyet, Michael Hansen, Mason Hensley, Courtney Shaw, Alan Trinca, Keyon Williams, Andy Zou",United States,8/1/2020,2020,TV-Y,2 Seasons,Kids',,
Netflix,s2183,Movie,Tumi or not Tumi,Mfanelo Ngoma,Tumi Morake,,8/1/2020,2020,TV-MA,72 min,Stand-UpComedy,,
Netflix,s2184,Movie,What Keeps You Alive,Colin Minihan,"Hannah Emily Anderson, Brittany Allen, Martha MacIsaac, Joey Klein, Charlotte Lindsay Marron",Canada,8/1/2020,2018,R,99 min,LGBTQMovies, Thrillers,
Netflix,s2185,TV Show,Get Even,,"Kim Adis, Mia McKenna-Bruce, Bethany Antonia, Jessica Alexander",United Kingdom,7/31/2020,2020,TV-PG,1 Season,British, Crime TV Shows, International TV Shows
Netflix,s2186,Movie,Latte and the Magic Waterstone,"Regina Welker, Nina Wels","Ashley Bornancin, Carter Hastings",Germany,7/31/2020,2020,TV-Y,83 min,Children&FamilyMovies, Comedies,
Netflix,s2187,Movie,Raat Akeli Hai,Honey Trehan,"Nawazuddin Siddiqui, Radhika Apte, Khalid Tyabji, Aditya Srivastava, Padmavati Rao, Shivani Raghuvanshi, Nishant Dahiya, Shweta Tripathi, Gyanendra Tripathi, Shreedhar Dubey, Swanand Kirkire, Riya Shukla, Tigmanshu Dhulia, Ila Arun, Natasha Rastogi",India,7/31/2020,2020,TV-MA,150 min,Dramas, International Movies, Thrillers
Netflix,s2188,Movie,Seriously Single,"Katleho Ramaphakela, Rethabile Ramaphakela","Fulu Mugovhani, Tumi Morake, Bohang Moeko, Yonda Thomas",South Africa,7/31/2020,2020,TV-MA,108 min,Comedies, International Movies, Romantic Movies
Netflix,s2189,Movie,Sugar High,Ariel Boles,Hunter March,United States,7/31/2020,2020,TV-G,44 min,Children&FamilyMovies,,
Netflix,s2190,TV Show,Sugar Rush,,"Candace Nelson, Adriano Zumbo, Hunter March",United States,7/31/2020,2020,TV-PG,3 Seasons,Reality,,
Netflix,s2191,TV Show,The Umbrella Academy,,,"United States, Canada",7/31/2020,2020,TV-14,2 Seasons,Action&Adventure, TV Mysteries, TV Sci-Fi & Fantasy
Netflix,s2192,Movie,Retablo,Ãlvaro Delgado-Aparicio L.,"Junior BÃ©jar Roca, Amiel Cayo, Magaly Solier, Hermelinda LujÃ¡n, Mauro ChuchÃ³n, Claudia SolÃ­s, Coco Chiarella","Peru, Germany, Norway",7/30/2020,2017,TV-MA,102 min,Dramas, International Movies,
Netflix,s2193,TV Show,Transformers: War For Cybertron Trilogy,,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco",United States,7/30/2020,2020,TV-Y7,1 Season,AnimeSeries,,
Netflix,s2194,Movie,Uma Maheswara Ugra Roopasya,Venkatesh Maha,"Satya Dev, VK Naresh, Raghavan, Suhas P, Ravindra Vijay, Chandana Koppisetti, Roopa Koduvayur, Kushalini Pulapa",India,7/30/2020,2020,TV-MA,137 min,Comedies, Dramas, Independent Movies
Netflix,s2195,TV Show,Unlucky Ploy,Nopparoj Chotmunkongsit,"Anusorn Maneethet, Atsadaporn Siriwattanakul, Waratthaya Wongchayaporn, Thanawetch Siriwattanakul, Pokchat Thiamchai, Phichikorn Ployphimana, Supachai Suwanon, Daraneenuch Pasutanavin, Kittiphong Dumavibhat, Aphiradi Phawaphutanon, Attharut Krongrasri, Ronnawee Sereerat, Lita Janvarapa, Sitang Punnapob, Yani Tramod",,7/30/2020,2020,TV-MA,1 Season,International, Romantic TV Shows, TV Comedies
Netflix,s2196,Movie,It's Her Day,Aniedi Anwah,"Bovi Ugboma, Amanda Ebeye, Shaffy Bello, Adunni Ade, Ini Dima-Okojie, 'Najite Dede, Gregory Ojefua, Thelma Ezeamaka, Femi Durojaiye, Ese Lami George, Toni Tones",Nigeria,7/29/2020,2016,TV-MA,112 min,Comedies, International Movies, Romantic Movies
Netflix,s2197,Movie,Redemption,Mickey Fonseca,"Gil Alexandre, Arlete Bombe, Rashid Abdul, Laquino Fonseca, Tomas Bie, Candido Quembo, Jorge Amade, Aldovina Chiziane",Mozambique,7/29/2020,2019,TV-MA,102 min,Dramas, International Movies, Thrillers
Netflix,s2198,Movie,Shine Your Eyes,Matias Mariani,"O.C. Ukeje, Indira Nascimento, Paulo AndrÃ©, Ike Barry, Chukwudi Iwuji","Brazil, France",7/29/2020,2020,TV-MA,103 min,Dramas, Independent Movies, International Movies
Netflix,s2199,Movie,The Hater,Jan Komasa,"Maciej MusiaÅ‚owski, Agata Kulesza, Danuta Stenka, Vanessa Aleksander, Maciej Stuhr, Jacek Koman, Adam Gradowski, Piotr Biedron, Martynika Kosnica",Poland,7/29/2020,2020,TV-MA,136 min,Dramas, International Movies, Thrillers
Netflix,s2200,Movie,The Speed Cubers,Sue Kim,,United States,7/29/2020,2020,TV-PG,41 min,Documentaries,,
Netflix,s2201,Movie,Tread,Paul Solet,,United States,7/29/2020,2019,TV-MA,88 min,Documentaries,,
Netflix,s2202,TV Show,Last Chance U,,"John Franklin III, DJ Law, Buddy Stephens, Brittany Wagner, Ronald Ollie",United States,7/28/2020,2020,TV-MA,5 Seasons,Docuseries,,
Netflix,s2203,Movie,Banana Split,Ben Kasulke,"Hannah Marks, Liana Liberato, Dylan Sprouse, Luke Spencer Roberts, Jessica Hecht, Addison Riecke, Meagan Kimberly Smith, Haley Ramm",United States,7/26/2020,2020,TV-MA,84 min,Comedies, Dramas, Independent Movies
Netflix,s2204,TV Show,Shameless (U.S.),,"William H. Macy, Emmy Rossum, Justin Chatwin, Cameron Monaghan, Jeremy Allen White, Shanola Hampton, Steve Howey, Ethan Cutkosky, Emma Kenney, Laura Wiggins, Joan Cusack",United States,7/26/2020,2019,TV-MA,10 Seasons,Comedies, TV Dramas,
Netflix,s2205,Movie,Door Ke Darshan,Gagan Puri,"Dolly Ahluwalia, Manu Rishi Chadha, Mahie Gill, Shardul Rana, Archita Sharma, Rajesh Sharma, Supriya Shukla, Mehak Manwani",India,7/25/2020,2020,TV-14,114 min,Comedies, International Movies,
Netflix,s2206,Movie,Double World,Teddy Chan,"Henry Lau, Peter Ho, Lin Chenhan, Jiang Luxia, Ming Hu, Him Law, Shi Shi, Mark Cheng, Wang Ziyi, Xu Minghu",China,7/25/2020,2020,TV-14,110 min,Action&Adventure, International Movies,
Netflix,s2207,Movie,Project Marathwada,Bhavin Wadia,"Om Puri, Seema Biswas, Kunal Sheth, Rahul Patel, Katarina Kajkus, Farrah Kader, Govind Namdeo, Dalip Tahil",India,7/25/2020,2016,TV-MA,103 min,Dramas, Independent Movies, International Movies
Netflix,s2208,Movie,Animal Crackers,"Tony Bancroft, Scott Christian Sava","Emily Blunt, John Krasinski, Ian McKellen, Danny DeVito, Raven-SymonÃ©, Patrick Warburton, Wallace Shawn, Gilbert Gottfried, Tara Strong, Harvey Fierstein, James Arnold Taylor, Kevin Grevioux, Sylvester Stallone, Lydia Rose Taylor","China, Spain, South Korea, United States",7/24/2020,2020,TV-Y7,106 min,Children&FamilyMovies, Comedies,
Netflix,s2209,Movie,Dragons: Rescue Riders: Secrets of the Songwing,"Greg Rankin, TJ Sullivan","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, RenÃ©e Elise Goldsberry",United States,7/24/2020,2020,TV-Y,46 min,Children&FamilyMovies, Comedies,
Netflix,s2210,Movie,Nimbe,Tope Alake,"Odunlade Adekola, Chimezie Imo, Sani Danja, Rachael Okonkwo, Broda Shaggi, Toyin Abraham, Kelechi Udegbe, Doyin Abiola, Molawa Davis",Nigeria,7/24/2020,2019,TV-MA,115 min,Dramas, International Movies,
Netflix,s2211,Movie,Offering to the Storm,Fernando GonzÃ¡lez Molina,"Marta Etura, Leonardo Sbaraglia, Carlos Librado ""Nene"", Francesc Orella, Imanol Arias, Ãlvaro Cervantes, Itziar Aizpuru, Benn Northover, Marta Larralde, Alicia SÃ¡nchez, Eduardo Rosa, Angel Alkain, Ana Wagener, Paco Tous, Patricia LÃ³pez Arnaiz, Pedro Casablanc","Spain, Germany",7/24/2020,2020,TV-MA,140 min,InternationalMovies, Thrillers,
Netflix,s2212,Movie,Romance Doll,Yuki Tanada,"Issey Takahashi, Yuu Aoi, Kenta Hamano, Toko Miura, Koji Ohkura, Pierre Taki, Eri Watanabe, Kitaro",Japan,7/24/2020,2020,TV-MA,124 min,Dramas, International Movies, Romantic Movies
Netflix,s2213,TV Show,Sing On! Spain,,Ricky Merino,Spain,7/24/2020,2020,TV-G,1 Season,International, Reality TV, Spanish-Language TV Shows
Netflix,s2214,Movie,The Kissing Booth 2,Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi, Molly Ringwald, Taylor Zakhar Perez, Maisie Richardson-Sellers, Meganne Young","United Kingdom, United States",7/24/2020,2020,TV-14,133 min,Comedies, Romantic Movies,
Netflix,s2215,TV Show,Sinatra: All or Nothing at All,Alex Gibney,,United States,7/23/2020,2015,TV-14,1 Season,Docuseries,,
Netflix,s2216,Movie,The Larva Island Movie,Ahn Byoung-wook,"Hong Bum-ki, Eddy Lee, Kang Shi-hyun, Ahn Hyo-min, Kim Yeon-woo, Choi Nak-yoon, Tom Wayland, Erica Schroeder",South Korea,7/23/2020,2020,TV-Y7,91 min,Children&FamilyMovies, Comedies,
Netflix,s2217,Movie,The Letter Reader,Sibusiso Khuzwayo,"Bahle Mashinini, Nomalanga Shabane, Andile Gumbi, Nokuthula Mazibuko",South Africa,7/23/2020,2019,TV-PG,30 min,Dramas, International Movies,
Netflix,s2218,TV Show,Fear City: New York vs The Mafia,,,United States,7/22/2020,2020,TV-MA,1 Season,Crime, Docuseries,
